id,web_name,first name,last name,team_code,team_name,full_name
1,Cédric,Cédric,Alves Soares,1,Arsenal,Cédric Alves Soares
3,Xhaka,Granit,Xhaka,1,Arsenal,Granit Xhaka
4,Elneny,Mohamed,Elneny,1,Arsenal,Mohamed Elneny
5,Holding,Rob,Holding,1,Arsenal,Rob Holding
6,Partey,Thomas,Partey,1,Arsenal,Thomas Partey
7,Ødegaard,Martin,Ødegaard,1,Arsenal,Martin Ødegaard
8,Tierney,Kieran,Tierney,1,Arsenal,Kieran Tierney
9,Pépé,Nicolas,Pépé,1,Arsenal,Nicolas Pépé
10,White,Benjamin,White,1,Arsenal,Benjamin White
11,Nketiah,Eddie,Nketiah,1,Arsenal,Eddie Nketiah
12,Smith Rowe,Emile,Smith Rowe,1,Arsenal,Emile Smith Rowe
13,Saka,Bukayo,Saka,1,Arsenal,Bukayo Saka
14,Tomiyasu,Takehiro,Tomiyasu,1,Arsenal,Takehiro Tomiyasu
15,Ramsdale,Aaron,Ramsdale,1,Arsenal,Aaron Ramsdale
16,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,Gabriel dos Santos Magalhães
17,Tavares,Nuno,Varela Tavares,1,Arsenal,Nuno Varela Tavares
18,Sambi,Albert,Sambi Lokonga,1,Arsenal,Albert Sambi Lokonga
19,Martinelli,Gabriel,Martinelli Silva,1,Arsenal,Gabriel Martinelli Silva
20,Pablo Marí,Pablo,Marí Villar,1,Arsenal,Pablo Marí Villar
22,Torreira,Lucas,Torreira di Pascua,1,Arsenal,Lucas Torreira di Pascua
23,Nelson,Reiss,Nelson,1,Arsenal,Reiss Nelson
24,Turner,Matt,Turner,1,Arsenal,Matt Turner
25,Fábio Vieira,Fábio,Ferreira Vieira,1,Arsenal,Fábio Ferreira Vieira
26,Saliba,William,Saliba,1,Arsenal,William Saliba
27,Marquinhos,Marcus,Oliveira Alencar,1,Arsenal,Marcus Oliveira Alencar
28,Jesus,Gabriel,Fernando de Jesus,1,Arsenal,Gabriel Fernando de Jesus
313,Zinchenko,Oleksandr,Zinchenko,1,Arsenal,Oleksandr Zinchenko
607,Smith,Matthew,Smith,1,Arsenal,Matthew Smith
630,Nwaneri,Ethan,Nwaneri,1,Arsenal,Ethan Nwaneri
631,Sousa,Lino,Sousa,1,Arsenal,Lino Sousa
655,Hein,Karl,Hein,1,Arsenal,Karl Hein
29,Coutinho,Philippe,Coutinho Correia,2,Aston Villa,Philippe Coutinho Correia
30,Ings,Danny,Ings,2,Aston Villa,Danny Ings
31,Martínez,Emiliano,Martínez Romero,2,Aston Villa,Emiliano Martínez Romero
32,Chambers,Calum,Chambers,2,Aston Villa,Calum Chambers
33,Digne,Lucas,Digne,2,Aston Villa,Lucas Digne
34,Traoré,Bertrand,Traoré,2,Aston Villa,Bertrand Traoré
35,Olsen,Robin,Olsen,2,Aston Villa,Robin Olsen
36,Sanson,Morgan,Sanson,2,Aston Villa,Morgan Sanson
37,McGinn,John,McGinn,2,Aston Villa,John McGinn
38,Hause,Kortney,Hause,2,Aston Villa,Kortney Hause
39,Mings,Tyrone,Mings,2,Aston Villa,Tyrone Mings
40,Watkins,Ollie,Watkins,2,Aston Villa,Ollie Watkins
41,Nakamba,Marvelous,Nakamba,2,Aston Villa,Marvelous Nakamba
42,Buendía,Emiliano,Buendía Stati,2,Aston Villa,Emiliano Buendía Stati
43,Cash,Matty,Cash,2,Aston Villa,Matty Cash
44,Konsa,Ezri,Konsa Ngoyo,2,Aston Villa,Ezri Konsa Ngoyo
45,Bailey,Leon,Bailey,2,Aston Villa,Leon Bailey
46,Douglas Luiz,Douglas Luiz,Soares de Paulo,2,Aston Villa,Douglas Luiz Soares de Paulo
47,Ramsey,Jacob,Ramsey,2,Aston Villa,Jacob Ramsey
49,Iroegbunam,Tim,Iroegbunam,2,Aston Villa,Tim Iroegbunam
50,Diego Carlos,Diego Carlos,Santos Silva,2,Aston Villa,Diego Carlos Santos Silva
51,El Ghazi,Anwar,El Ghazi,2,Aston Villa,Anwar El Ghazi
52,Davis,Keinan,Davis,2,Aston Villa,Keinan Davis
53,Kamara,Boubacar,Kamara,2,Aston Villa,Boubacar Kamara
54,Archer,Cameron,Archer,2,Aston Villa,Cameron Archer
55,Philogene-Bidace,Jaden,Philogene-Bidace,2,Aston Villa,Jaden Philogene-Bidace
56,Guilbert,Frédéric,Guilbert,2,Aston Villa,Frédéric Guilbert
410,Bednarek,Jan,Bednarek,2,Aston Villa,Jan Bednarek
479,Dendoncker,Leander,Dendoncker,2,Aston Villa,Leander Dendoncker
525,Augustinsson,Ludwig,Augustinsson,2,Aston Villa,Ludwig Augustinsson
537,Kesler Hayden,Kaine,Kesler Hayden,2,Aston Villa,Kaine Kesler Hayden
538,Young,Ashley,Young,2,Aston Villa,Ashley Young
638,Bogarde,Lamare,Bogarde,2,Aston Villa,Lamare Bogarde
57,Smith,Adam,Smith,3,AFC Bournemouth,Adam Smith
58,Stanislas,Junior,Stanislas,3,AFC Bournemouth,Junior Stanislas
59,Fredericks,Ryan,Fredericks,3,AFC Bournemouth,Ryan Fredericks
60,Brooks,David,Brooks,3,AFC Bournemouth,David Brooks
61,Lowe,Jamal,Lowe,3,AFC Bournemouth,Jamal Lowe
62,Moore,Kieffer,Moore,3,AFC Bournemouth,Kieffer Moore
63,Marcondes,Emiliano,Marcondes,3,AFC Bournemouth,Emiliano Marcondes
64,Lerma,Jefferson,Lerma Solís,3,AFC Bournemouth,Jefferson Lerma Solís
65,Stacey,Jack,Stacey,3,AFC Bournemouth,Jack Stacey
66,Solanke,Dominic,Solanke,3,AFC Bournemouth,Dominic Solanke
67,Cook,Lewis,Cook,3,AFC Bournemouth,Lewis Cook
68,Pearson,Ben,Pearson,3,AFC Bournemouth,Ben Pearson
69,Christie,Ryan,Christie,3,AFC Bournemouth,Ryan Christie
70,Billing,Philip,Billing,3,AFC Bournemouth,Philip Billing
71,Mepham,Chris,Mepham,3,AFC Bournemouth,Chris Mepham
72,Travers,Mark,Travers,3,AFC Bournemouth,Mark Travers
73,Kelly,Lloyd,Kelly,3,AFC Bournemouth,Lloyd Kelly
74,Dembélé,Siriki,Dembélé,3,AFC Bournemouth,Siriki Dembélé
